a_x,a_y,a_z,m_x,m_y,m_z,omega_x,omega_y,omega_z,g_x,g_y,g_z,Pressure,Temperature,Timestamp
0.16,-0.07,0.14,-13.56,-23.19,-24.19,-4.87,3.56,3.12,-0.5,-0.28,9.78,99106.67,24.33,2024-11-19 17:05:33
-0.01,0.07,-0.02,-13.56,-23.19,-24.19,-5.31,2.94,2.5,-0.52,-0.3,9.78,99106.33,24.34,2024-11-19 17:05:33
-0.26,0.09,0.03,-14.0,-22.5,-22.56,-9.13,0.56,2.94,-0.52,-0.34,9.78,99106.33,24.34,2024-11-19 17:05:33
-0.06,-0.21,0.88,-13.56,-21.37,-24.56,-8.0,-2.12,4.56,-0.52,-0.38,9.78,99106.63,24.34,2024-11-19 17:05:33
0.3,0.09,-0.03,-13.56,-21.37,-24.56,-4.94,-5.0,4.37,-0.5,-0.41,9.78,99107.02,24.34,2024-11-19 17:05:33
0.36,-0.28,-0.3,-13.19,-23.56,-24.19,-7.75,-2.5,1.87,-0.49,-0.43,9.78,99107.02,24.34,2024-11-19 17:05:33
0.15,-0.38,-0.14,-13.19,-23.56,-24.19,-4.37,2.94,-0.44,-0.49,-0.46,9.78,99106.05,24.34,2024-11-19 17:05:33
0.0,-0.13,-0.2,-13.56,-22.75,-22.56,0.69,6.75,-0.5,-0.52,-0.46,9.78,99106.25,24.34,2024-11-19 17:05:33
-0.21,0.06,-0.29,-13.56,-22.75,-22.56,0.13,7.75,-0.19,-0.54,-0.46,9.78,99106.25,24.34,2024-11-19 17:05:33
-0.03,-0.18,0.3,-13.56,-22.5,-23.75,-0.81,8.75,0.5,-0.6,-0.46,9.77,99106.88,24.34,2024-11-19 17:05:33
0.17,-0.4,0.28,-13.56,-22.5,-23.75,3.06,6.81,-0.19,-0.62,-0.46,9.77,99107.2,24.34,2024-11-19 17:05:33
0.12,-0.32,-0.05,-11.75,-23.19,-23.0,4.87,3.69,-1.5,-0.65,-0.43,9.77,99107.2,24.34,2024-11-19 17:05:33
0.01,0.11,0.36,-12.5,-22.69,-24.56,4.06,-0.19,-0.81,-0.65,-0.41,9.77,99106.93,24.34,2024-11-19 17:05:33
-0.03,0.04,0.38,-12.5,-22.69,-24.56,4.56,-4.25,0.31,-0.64,-0.39,9.77,99106.58,24.34,2024-11-19 17:05:33
0.08,-0.09,0.22,-11.75,-22.37,-23.75,5.06,-6.19,0.75,-0.62,-0.37,9.77,99106.58,24.33,2024-11-19 17:05:33
0.62,-0.53,-0.04,-11.75,-22.37,-23.75,3.19,-7.0,-3.31,-0.57,-0.35,9.78,99106.51,24.33,2024-11-19 17:05:33
-0.4,0.28,0.14,-12.75,-23.5,-23.75,3.19,-4.81,-3.87,-0.54,-0.33,9.78,99106.85,24.33,2024-11-19 17:05:33
-0.04,0.19,0.27,-12.5,-23.87,-23.37,3.56,-4.87,0.37,-0.52,-0.32,9.78,99106.85,24.32,2024-11-19 17:05:33
0.28,-0.38,-0.35,-12.5,-23.87,-23.37,5.25,-1.19,0.75,-0.5,-0.29,9.78,99107.1,24.32,2024-11-19 17:05:33
0.06,-0.56,-0.29,-13.19,-23.87,-23.87,6.62,11.38,-2.19,-0.55,-0.25,9.78,99107.47,24.32,2024-11-19 17:05:33
-0.2,0.09,0.27,-13.19,-23.87,-23.87,3.37,12.69,-0.94,-0.59,-0.24,9.78,99107.47,24.31,2024-11-19 17:05:33
0.13,-0.09,0.33,-13.56,-24.19,-23.06,0.88,6.0,0.88,-0.65,-0.23,9.78,99108.29,24.31,2024-11-19 17:05:33
-0.11,0.04,0.27,-12.75,-23.5,-23.5,-1.37,1.5,0.19,-0.66,-0.23,9.78,99107.61,24.31,2024-11-19 17:05:33
-0.26,0.11,0.06,-12.75,-23.5,-23.5,-3.56,-2.25,0.25,-0.66,-0.24,9.78,99107.61,24.3,2024-11-19 17:05:33
-0.05,-0.05,0.31,-12.06,-24.56,-23.87,-5.06,-4.0,0.25,-0.64,-0.27,9.78,99108.09,24.3,2024-11-19 17:05:33
-0.14,-0.15,0.12,-12.5,-23.06,-23.06,-6.5,-7.31,-0.5,-0.61,-0.3,9.78,99108.09,24.31,2024-11-19 17:05:33
-0.09,-0.13,0.26,-12.5,-23.06,-23.06,-6.19,-8.31,-0.19,-0.57,-0.33,9.78,99108.09,24.3,2024-11-19 17:05:33
0.23,-0.16,0.06,-13.19,-23.5,-22.69,-4.87,-7.75,-0.88,-0.53,-0.36,9.78,99108.61,24.3,2024-11-19 17:05:33
0.24,-0.24,-0.23,-13.19,-23.5,-22.69,-3.69,-4.19,-2.75,-0.5,-0.38,9.78,99107.47,24.3,2024-11-19 17:05:33
0.06,0.07,-0.12,-14.25,-23.5,-23.5,-2.62,-2.31,-3.19,-0.49,-0.39,9.78,99107.47,24.3,2024-11-19 17:05:33
0.12,0.22,0.06,-14.25,-23.5,-23.5,-1.56,-0.31,-1.75,-0.48,-0.4,9.78,99107.19,24.3,2024-11-19 17:05:33
0.11,0.0,0.0,-12.75,-23.87,-23.06,-0.56,0.69,0.06,-0.48,-0.41,9.78,99107.35,24.3,2024-11-19 17:05:33
0.13,-0.13,0.0,-13.56,-22.69,-25.06,-1.0,0.37,0.88,-0.49,-0.41,9.78,99107.35,24.3,2024-11-19 17:05:33
0.11,-0.08,0.18,-13.56,-22.69,-25.06,-0.69,0.81,1.19,-0.49,-0.41,9.78,99107.37,24.3,2024-11-19 17:05:33
0.0,-0.19,0.0,-12.75,-22.69,-24.25,-1.75,0.75,1.25,-0.49,-0.42,9.78,99107.43,24.3,2024-11-19 17:05:33
0.02,-0.16,0.2,-12.75,-22.69,-24.25,-2.81,0.94,1.0,-0.49,-0.44,9.78,99107.43,24.31,2024-11-19 17:05:33
0.05,-0.05,0.05,-14.0,-21.69,-24.25,-2.81,0.88,0.69,-0.5,-0.45,9.78,99107.84,24.31,2024-11-19 17:05:33
0.0,-0.13,0.09,-12.75,-23.5,-24.37,-3.69,0.81,0.62,-0.5,-0.47,9.78,99107.24,24.31,2024-11-19 17:05:33
0.0,-0.06,-0.08,-12.75,-23.5,-24.37,-3.81,0.19,0.25,-0.5,-0.49,9.78,99107.24,24.31,2024-11-19 17:05:33
0.07,-0.05,0.17,-12.75,-23.06,-23.56,-3.56,0.56,0.19,-0.5,-0.51,9.78,99107.54,24.31,2024-11-19 17:05:33
0.01,-0.12,0.1,-12.75,-23.06,-23.56,-2.5,-1.06,-0.31,-0.5,-0.52,9.77,99107.27,24.31,2024-11-19 17:05:33
0.06,-0.15,0.11,-13.19,-22.69,-24.0,-2.37,-1.81,-0.75,-0.5,-0.53,9.77,99107.27,24.31,2024-11-19 17:05:33
0.08,-0.17,0.01,-13.19,-22.69,-24.0,-1.69,-2.0,-1.44,-0.48,-0.54,9.77,99107.25,24.31,2024-11-19 17:05:33
0.0,-0.12,-0.05,-12.5,-22.37,-24.0,-0.13,-0.81,-2.12,-0.47,-0.55,9.77,99107.02,24.31,2024-11-19 17:05:33
0.0,-0.15,0.12,-12.75,-22.69,-24.37,-1.06,-1.0,-2.31,-0.47,-0.55,9.77,99107.02,24.31,2024-11-19 17:05:33
-0.03,0.02,0.18,-12.75,-22.69,-24.37,-1.31,-1.75,-2.12,-0.46,-0.56,9.77,99107.21,24.31,2024-11-19 17:05:33
-0.01,0.0,0.05,-13.56,-22.37,-23.19,-1.06,-1.69,-1.0,-0.45,-0.57,9.77,99107.4,24.31,2024-11-19 17:05:33
0.07,-0.16,-0.14,-13.56,-22.37,-23.19,-1.25,-1.44,-1.06,-0.45,-0.58,9.77,99107.4,24.3,2024-11-19 17:05:33
0.08,-0.01,-0.01,-13.19,-22.37,-24.0,-1.31,-0.44,-1.44,-0.44,-0.58,9.77,99107.45,24.3,2024-11-19 17:05:33
-0.02,-0.17,0.07,-13.56,-21.69,-23.56,-1.19,0.31,-1.19,-0.44,-0.59,9.77,99107.11,24.31,2024-11-19 17:05:33
0.0,-0.15,0.17,-13.56,-21.69,-23.56,-0.69,0.0,-0.81,-0.44,-0.6,9.77,99107.11,24.31,2024-11-19 17:05:33
0.04,-0.09,0.05,-13.19,-22.37,-24.75,-0.06,-0.88,-1.12,-0.44,-0.6,9.77,99107.27,24.31,2024-11-19 17:05:33
0.09,-0.22,0.13,-13.19,-22.37,-24.75,0.94,-0.69,-1.5,-0.43,-0.6,9.77,99106.86,24.31,2024-11-19 17:05:33
0.07,0.02,-0.03,-13.19,-22.37,-24.75,1.94,-1.0,-1.5,-0.43,-0.59,9.77,99106.86,24.31,2024-11-19 17:05:33
0.07,-0.06,0.04,-13.19,-22.37,-24.75,1.25,-0.62,-1.81,-0.42,-0.59,9.77,99106.74,24.31,2024-11-19 17:05:33
0.04,0.05,0.08,-12.75,-22.69,-24.0,2.12,0.44,-1.69,-0.42,-0.58,9.77,99106.99,24.31,2024-11-19 17:05:33
0.05,-0.04,0.06,-12.75,-22.69,-24.0,1.0,-0.13,-0.94,-0.42,-0.57,9.78,99106.99,24.31,2024-11-19 17:05:33
0.04,-0.09,0.18,-14.25,-22.0,-23.56,0.69,-0.94,-0.69,-0.42,-0.57,9.78,99107.72,24.31,2024-11-19 17:05:33
0.0,-0.05,0.11,-13.56,-22.0,-23.56,0.75,-1.87,-0.5,-0.4,-0.57,9.78,99108.02,24.32,2024-11-19 17:05:33
0.08,-0.07,0.06,-13.56,-22.0,-23.56,0.81,-1.81,-0.44,-0.4,-0.56,9.78,99108.02,24.32,2024-11-19 17:05:33
0.07,-0.05,-0.03,-14.0,-22.69,-22.37,1.56,-0.81,-0.75,-0.39,-0.56,9.78,99108.33,24.32,2024-11-19 17:05:34
-0.04,-0.05,-0.05,-14.25,-22.37,-23.56,1.12,0.69,0.0,-0.39,-0.55,9.78,99108.3,24.32,2024-11-19 17:05:34
0.07,-0.04,0.14,-14.25,-22.37,-23.56,1.06,1.37,0.37,-0.4,-0.54,9.78,99108.3,24.31,2024-11-19 17:05:34
0.12,-0.1,0.12,-14.0,-23.06,-24.37,1.5,1.69,0.19,-0.4,-0.54,9.78,99108.16,24.31,2024-11-19 17:05:34
-0.02,-0.04,0.07,-12.75,-23.06,-23.56,0.88,1.0,-0.06,-0.41,-0.53,9.78,99107.68,24.31,2024-11-19 17:05:34
0.0,-0.04,0.17,-12.75,-23.06,-23.56,0.13,1.12,0.06,-0.41,-0.53,9.78,99107.68,24.31,2024-11-19 17:05:34
0.05,-0.17,0.12,-12.5,-23.5,-24.0,-0.13,-0.19,0.06,-0.41,-0.54,9.78,99108.45,24.31,2024-11-19 17:05:34
0.0,-0.01,0.05,-12.5,-23.5,-24.0,0.31,-1.12,-0.19,-0.41,-0.54,9.78,99108.2,24.31,2024-11-19 17:05:34
0.03,0.04,0.08,-13.56,-22.69,-23.56,-0.19,-0.94,-0.13,-0.41,-0.54,9.78,99108.2,24.3,2024-11-19 17:05:34
0.06,-0.2,0.0,-14.25,-22.37,-24.0,-0.44,0.13,0.13,-0.4,-0.54,9.78,99108.15,24.3,2024-11-19 17:05:34
0.04,-0.04,0.01,-14.25,-22.37,-24.0,0.25,0.88,-0.5,-0.41,-0.54,9.78,99108.49,24.31,2024-11-19 17:05:34
0.04,0.02,0.17,-13.56,-22.37,-24.37,-0.31,0.13,-0.06,-0.41,-0.54,9.78,99108.49,24.3,2024-11-19 17:05:34
0.01,-0.2,0.0,-13.56,-22.37,-24.37,-0.94,-0.31,0.37,-0.41,-0.54,9.78,99108.71,24.3,2024-11-19 17:05:34
0.06,-0.23,0.1,-13.56,-22.69,-24.37,-0.13,-0.06,-0.06,-0.41,-0.55,9.78,99108.71,24.3,2024-11-19 17:05:34
0.08,0.02,0.11,-13.56,-22.69,-24.37,-0.44,-0.25,0.13,-0.41,-0.55,9.78,99108.71,24.31,2024-11-19 17:05:34
0.02,-0.15,-0.07,-13.56,-22.0,-24.75,-1.12,-0.19,0.56,-0.41,-0.55,9.78,99108.3,24.31,2024-11-19 17:05:34
0.04,-0.01,0.14,-13.56,-22.69,-24.37,0.19,0.94,0.62,-0.41,-0.55,9.78,99107.91,24.31,2024-11-19 17:05:34
0.04,-0.01,0.05,-13.56,-22.69,-24.37,-0.19,0.94,0.44,-0.41,-0.55,9.78,99107.91,24.31,2024-11-19 17:05:34
0.04,-0.14,0.09,-13.56,-23.06,-24.0,-0.31,0.81,0.5,-0.42,-0.56,9.78,99107.77,24.31,2024-11-19 17:05:34
0.02,-0.01,0.04,-13.56,-23.06,-24.0,0.0,0.25,0.75,-0.42,-0.56,9.78,99107.91,24.31,2024-11-19 17:05:34
0.04,0.0,0.05,-12.75,-22.0,-23.56,-1.56,0.19,0.88,-0.42,-0.56,9.78,99107.91,24.31,2024-11-19 17:05:34
0.07,-0.12,0.01,-12.75,-22.69,-24.37,-0.94,0.13,0.75,-0.42,-0.57,9.78,99107.36,24.31,2024-11-19 17:05:34
-0.02,-0.08,0.07,-12.75,-22.69,-24.37,-0.56,0.06,0.62,-0.42,-0.57,9.78,99107.16,24.31,2024-11-19 17:05:34
0.0,-0.07,0.14,-13.19,-21.69,-25.19,-0.81,0.06,0.44,-0.42,-0.57,9.78,99107.16,24.32,2024-11-19 17:05:34
0.07,-0.11,0.06,-13.19,-21.69,-25.19,-0.88,-0.44,0.19,-0.42,-0.58,9.78,99107.48,24.32,2024-11-19 17:05:34
-0.01,-0.19,0.03,-12.75,-22.0,-24.37,0.0,-0.31,-0.19,-0.42,-0.58,9.77,99107.13,24.31,2024-11-19 17:05:34
0.0,-0.04,0.08,-13.19,-22.37,-24.75,-0.19,-0.25,-0.19,-0.42,-0.59,9.77,99107.13,24.31,2024-11-19 17:05:34
0.04,-0.16,0.14,-13.19,-22.37,-24.75,-0.56,-0.19,-0.19,-0.42,-0.59,9.77,99107.1,24.31,2024-11-19 17:05:34
0.1,-0.11,0.13,-13.56,-22.69,-23.56,-0.13,-1.06,-0.37,-0.41,-0.59,9.77,99106.82,24.31,2024-11-19 17:05:34
0.09,0.07,0.11,-13.56,-22.69,-23.56,-0.5,-1.5,-0.37,-0.41,-0.59,9.78,99106.82,24.31,2024-11-19 17:05:34
0.09,-0.01,0.0,-13.56,-22.0,-24.37,-0.81,-1.12,0.19,-0.4,-0.59,9.78,99107.11,24.31,2024-11-19 17:05:34
0.06,-0.17,-0.02,-13.19,-21.25,-24.0,-0.19,1.25,0.0,-0.4,-0.6,9.77,99107.14,24.31,2024-11-19 17:05:34
0.03,0.0,0.12,-13.19,-21.25,-24.0,0.0,1.87,-0.56,-0.41,-0.6,9.77,99107.14,24.31,2024-11-19 17:05:34
-0.04,0.01,0.05,-13.19,-21.69,-24.37,-1.31,1.0,-0.06,-0.41,-0.6,9.77,99107.2,24.31,2024-11-19 17:05:34
0.04,-0.28,0.05,-13.19,-21.69,-24.37,-0.81,1.44,0.25,-0.42,-0.61,9.77,99107.63,24.31,2024-11-19 17:05:34
0.06,0.01,0.19,-12.75,-22.0,-24.37,-0.25,1.0,-0.31,-0.42,-0.61,9.77,99107.63,24.31,2024-11-19 17:05:34
0.0,0.04,0.02,-12.75,-22.0,-24.37,-1.37,-0.37,-0.37,-0.42,-0.61,9.77,99107.91,24.31,2024-11-19 17:05:34
0.03,-0.16,-0.03,-12.75,-21.25,-25.56,-1.81,0.06,0.25,-0.42,-0.62,9.77,99107.37,24.31,2024-11-19 17:05:34
0.11,-0.14,0.05,-12.75,-21.25,-25.56,-0.75,0.88,0.25,-0.42,-0.63,9.77,99107.37,24.32,2024-11-19 17:05:34
0.01,-0.04,0.01,-12.5,-21.69,-24.37,-0.44,0.81,-0.19,-0.43,-0.63,9.77,99107.13,24.32,2024-11-19 17:05:34
-0.01,-0.02,0.2,-14.0,-21.25,-23.56,-0.25,1.12,-0.19,-0.43,-0.63,9.77,99107.49,24.32,2024-11-19 17:05:34
-0.02,-0.04,0.23,-14.0,-21.25,-23.56,0.81,0.62,0.25,-0.43,-0.63,9.77,99107.49,24.33,2024-11-19 17:05:34
0.05,-0.08,-0.03,-12.5,-20.56,-24.37,2.0,-0.69,0.37,-0.43,-0.62,9.77,99107.52,24.33,2024-11-19 17:05:34
0.11,-0.1,0.16,-12.5,-20.56,-24.37,2.0,-0.56,-0.25,-0.43,-0.61,9.77,99107.41,24.33,2024-11-19 17:05:34
0.06,-0.1,0.17,-12.06,-20.87,-23.25,2.69,-0.69,-0.44,-0.43,-0.6,9.77,99107.41,24.33,2024-11-19 17:05:34
0.0,-0.1,-0.14,-12.06,-20.87,-23.25,1.69,-1.0,-0.37,-0.42,-0.59,9.77,99107.63,24.33,2024-11-19 17:05:34
-0.01,0.0,0.19,-13.19,-20.19,-24.5,1.31,-0.56,-0.31,-0.42,-0.58,9.77,99107.73,24.33,2024-11-19 17:05:34
0.01,-0.1,0.0,-13.19,-20.19,-24.5,0.94,-0.75,-0.19,-0.42,-0.58,9.78,99107.73,24.33,2024-11-19 17:05:34
0.02,0.01,0.2,-12.5,-22.0,-24.87,0.75,-0.37,0.13,-0.41,-0.58,9.78,99107.38,24.33,2024-11-19 17:05:34
0.14,-0.12,-0.03,-14.0,-22.0,-24.06,-0.13,-0.69,0.56,-0.41,-0.58,9.78,99107.65,24.33,2024-11-19 17:05:34
0.05,-0.17,-0.09,-14.0,-22.0,-24.06,-1.19,0.19,0.56,-0.41,-0.58,9.78,99107.65,24.33,2024-11-19 17:05:34
-0.02,-0.04,0.11,-12.5,-21.25,-25.69,-1.31,1.44,0.5,-0.42,-0.59,9.77,99107.9,24.33,2024-11-19 17:05:34
0.09,-0.06,0.06,-12.5,-21.25,-25.69,-1.87,1.19,0.56,-0.42,-0.6,9.77,99107.72,24.33,2024-11-19 17:05:34
0.01,-0.19,0.13,-12.06,-20.56,-25.25,-2.19,1.06,0.25,-0.43,-0.61,9.77,99107.72,24.33,2024-11-19 17:05:34
-0.02,0.07,0.1,-12.06,-20.56,-25.25,-1.81,0.31,0.69,-0.43,-0.62,9.77,99107.36,24.33,2024-11-19 17:05:34
0.1,-0.08,-0.04,-13.19,-20.87,-24.06,-2.31,0.81,0.94,-0.43,-0.63,9.77,99107.77,24.34,2024-11-19 17:05:34
0.11,-0.3,-0.06,-13.19,-20.87,-24.06,-1.44,2.0,0.31,-0.44,-0.64,9.77,99107.77,24.33,2024-11-19 17:05:34
-0.05,-0.03,0.01,-12.5,-20.87,-24.5,-1.37,2.69,-0.69,-0.45,-0.65,9.77,99107.21,24.33,2024-11-19 17:05:34
-0.03,-0.11,0.37,-12.75,-21.25,-24.06,-2.06,1.44,-0.13,-0.46,-0.66,9.77,99106.78,24.33,2024-11-19 17:05:34
0.01,-0.13,0.25,-12.75,-21.25,-24.06,-1.19,-0.06,0.06,-0.46,-0.66,9.77,99106.78,24.34,2024-11-19 17:05:34
0.04,-0.02,-0.06,-12.5,-19.75,-24.5,-1.19,-0.69,-0.37,-0.45,-0.67,9.77,99106.74,24.34,2024-11-19 17:05:35
0.08,-0.05,0.07,-12.5,-19.75,-24.5,-0.81,0.0,-0.19,-0.45,-0.67,9.77,99106.71,24.34,2024-11-19 17:05:35
0.09,-0.14,0.04,-12.75,-20.87,-24.06,-0.25,-0.13,-0.19,-0.45,-0.67,9.77,99106.71,24.33,2024-11-19 17:05:35
0.0,0.07,0.14,-12.75,-20.87,-24.06,0.37,0.0,-0.25,-0.45,-0.68,9.77,99106.78,24.33,2024-11-19 17:05:35
0.1,-0.04,0.12,-13.56,-20.56,-25.25,-0.06,-0.06,0.19,-0.45,-0.68,9.77,99107.63,24.34,2024-11-19 17:05:35
0.11,-0.18,-0.05,-13.56,-20.56,-25.25,-0.06,-0.06,0.25,-0.45,-0.68,9.77,99107.63,24.34,2024-11-19 17:05:35
0.03,-0.1,0.04,-12.5,-21.69,-24.5,1.06,-0.31,-0.19,-0.45,-0.67,9.77,99107.59,24.34,2024-11-19 17:05:35
0.0,0.06,0.09,-12.06,-20.87,-23.69,0.62,-0.62,0.13,-0.45,-0.67,9.77,99107.57,24.34,2024-11-19 17:05:35
0.06,-0.02,0.13,-12.06,-20.87,-23.69,0.44,-0.44,0.37,-0.45,-0.67,9.77,99107.57,24.33,2024-11-19 17:05:35
